stop_id stop_code stop_name stop_lat stop_lon
281 PointOfInterest_99 Jardins_de_La_Hunière_Ardenay 48.715202 2.23765
282 PointOfInterest_109 La_Pie_Voleuse_-_Église 48.713317 2.240663
283 PointOfInterest_97 La_Butte_à_La_Reine 48.711635 2.239422
284 PointOfInterest_66 Parc_Chabrol 48.710029 2.243536
285 PointOfInterest_63 Place_de_la_Victoire 48.711124 2.244617
286 PointOfInterest_80 Palaiseau_-_Palaiseau_RER_-_Edouard_Branly_(Soir) 48.716487 2.248521
287 PointOfInterest_87 Groupe_Scolaire_Vaillant_ 48.716484 2.253465
288 PointOfInterest_89 Cosmonautes_-_Stalingrad 48.71474 2.258871
289 PointOfInterest_91 Cosmonautes_-_Flaubert 48.717208 2.260543
290 PointOfInterest_93 Place_du_Grand-Ouest 48.723533 2.263035
291 PointOfInterest_94 _Gare_de_Massy-Palaiseau_RER 48.725009 2.260204
292 PointOfInterest_92 Petits_Champs_Ronds 48.721096 2.259366
293 PointOfInterest_90 Cosmonautes_-_Flaubert 48.71696 2.260278
294 PointOfInterest_88 Cosmonautes_-_Stalingrad 48.714576 2.258599
295 PointOfInterest_86 Groupe_Scolaire_Vaillant_ 48.716732 2.25318
296 PointOfInterest_81 Palaiseau_RER_-_Edouard_Branly_ 48.716831 2.24855
297 PointOfInterest_79 Mairie_de_Palaiseau_-_La_Poste 48.713172 2.246435
298 PointOfInterest_64 Place_de_la_Victoire 48.711284 2.244591
299 PointOfInterest_65 Parc_Chabrol 48.709587 2.242816
300 PointOfInterest_95 Gare_de_Palaiseau_Villebon_RER 48.708297 2.237616
301 PointOfInterest_96 La_Butte_à_La_Reine 48.711814 2.2399
302 PointOfInterest_98 La_Pie_Voleuse_-_Église 48.713859 2.242513
303 PointOfInterest_100 Jardins_de_La_Hunière_Ardenay 48.714759 2.2372
304 PointOfInterest_101 La_Hunière_-_Onera_ 48.712036 2.232261
305 PointOfInterest_103 La_Hunière_-_Joncherettes 48.709957 2.230261
306 PointOfInterest_77 Groupe_Scolaire_Jean_Macé 48.704135 2.217827
307 PointOfInterest_76 Fourcherolles 48.703456 2.220673
308 PointOfInterest_73 Bois_de_Fourcherolles 48.703636 2.225914
309 PointOfInterest_72 Marceau 48.703872 2.22995
310 PointOfInterest_70 Collège_Charles_Péguy 48.70507 2.23573
311 PointOfInterest_107 Alliés_-_Berteaux_ 48.722023 2.248064
312 PointOfInterest_106 Ancienne_Gare_Militaire 48.724822 2.247009
313 PointOfInterest_83 Parc_de_l'Effort_Mutuel 48.727226 2.240268
314 PointOfInterest_84 Marché_du_Pileu 48.727588 2.235517
315 PointOfInterest_85 Marché_du_Pileu 48.727508 2.235625
316 PointOfInterest_82 Parc_de_l'Effort_Mutuel 48.727077 2.24098
317 PointOfInterest_105 Ancienne_Gare_Militaire 48.724899 2.246613
318 PointOfInterest_108 Alliés_-_Berteaux_ 48.721817 2.247994
319 PointOfInterest_67 Palaiseau_-_Villebon_RER_-_Général_Leclerc 48.706302 2.237878
320 PointOfInterest_69 Collège_Charles_Péguy 48.705368 2.23603
321 PointOfInterest_71 Marceau 48.70391 2.2291
322 PointOfInterest_74 Bois_de_Fourcherolles 48.703689 2.225302
323 PointOfInterest_75 Fourcherolles 48.703472 2.220867
324 PointOfInterest_78 Groupe_Scolaire_Jean_Macé 48.704303 2.217419
325 stop_code Unm_-_UTAC 48.623271 2.25155
326 stop_code Chemin_de_Tabor 48.625549 2.259024
327 stop_code Château_d'Eau 48.626621 2.263259
328 stop_code Carcassonne 48.624729 2.268215
329 stop_code Fontenelles 48.628692 2.27092
330 stop_code Mairie_-_Rue_des_Ecoles 48.63079 2.267939
331 stop_code Petits_Prés 48.630889 2.272509
332 stop_code Arpajonnais 48.631717 2.270879
333 stop_code L'Aubette 48.633636 2.26772
334 stop_code Mairie_-_Rue_de_la_Division_Leclerc 48.631919 2.26617
335 stop_code Médiathèque 48.630474 2.265083
336 stop_code Chemin_de_Tabor 48.625572 2.258952
337 stop_code Unm_-_UTAC 48.623317 2.251404
338 poi3463596 Clinique_de_l'Yvette 48.689517 2.301083
339 poi3463598 Gare_de_Gravigny-Balizy_RER 48.685047 2.317368
340 poi3463597 Balizy 48.683044 2.310339
341 poi3463599 Lycée_de_Vilgénis 48.731224 2.253818
342 poi3463610 Petit_Champlan_Belles_Fontaines 48.703746 2.280982
